Wskaznik;Wojewodztwo;Wojewodztwo_ID;Rok;Wartosc
Ludność ogółem;MAŁOPOLSKIE;011200000000;2012;3354077
Ludność ogółem;MAŁOPOLSKIE;011200000000;2013;3360581
Ludność ogółem;MAŁOPOLSKIE;011200000000;2014;3368336
Ludność ogółem;MAŁOPOLSKIE;011200000000;2015;3372618
Ludność ogółem;MAŁOPOLSKIE;011200000000;2016;3382260
Ludność ogółem;MAŁOPOLSKIE;011200000000;2017;3391380
Ludność ogółem;MAŁOPOLSKIE;011200000000;2018;3400577
Ludność ogółem;MAŁOPOLSKIE;011200000000;2019;3410901
Ludność ogółem;MAŁOPOLSKIE;011200000000;2020;3432692
Ludność ogółem;MAŁOPOLSKIE;011200000000;2021;3430370
Ludność ogółem;MAŁOPOLSKIE;011200000000;2022;3429014
Ludność ogółem;MAŁOPOLSKIE;011200000000;2023;3429632
Ludność ogółem;MAŁOPOLSKIE;011200000000;2024;3429084
Ludność ogółem;MAŁOPOLSKIE;011200000000;2025;3429342
Ludność ogółem;ŚLĄSKIE;012400000000;2012;4615870
Ludność ogółem;ŚLĄSKIE;012400000000;2013;4599447
Ludność ogółem;ŚLĄSKIE;012400000000;2014;4585924
Ludność ogółem;ŚLĄSKIE;012400000000;2015;4570849
Ludność ogółem;ŚLĄSKIE;012400000000;2016;4559164
Ludność ogółem;ŚLĄSKIE;012400000000;2017;4548180
Ludność ogółem;ŚLĄSKIE;012400000000;2018;4533565
Ludność ogółem;ŚLĄSKIE;012400000000;2019;4517635
Ludność ogółem;ŚLĄSKIE;012400000000;2020;4412097
Ludność ogółem;ŚLĄSKIE;012400000000;2021;4375947
Ludność ogółem;ŚLĄSKIE;012400000000;2022;4346702
Ludność ogółem;ŚLĄSKIE;012400000000;2023;4320130
Ludność ogółem;ŚLĄSKIE;012400000000;2024;4291441
Ludność ogółem;ŚLĄSKIE;012400000000;2025;4261792
Ludność ogółem;LUBUSKIE;020800000000;2012;1023317
Ludność ogółem;LUBUSKIE;020800000000;2013;1021470
Ludność ogółem;LUBUSKIE;020800000000;2014;1020307
Ludność ogółem;LUBUSKIE;020800000000;2015;1018075
Ludność ogółem;LUBUSKIE;020800000000;2016;1017376
Ludność ogółem;LUBUSKIE;020800000000;2017;1016832
Ludność ogółem;LUBUSKIE;020800000000;2018;1014548
Ludność ogółem;LUBUSKIE;020800000000;2019;1011592
Ludność ogółem;LUBUSKIE;020800000000;2020;993329
Ludność ogółem;LUBUSKIE;020800000000;2021;985487
Ludność ogółem;LUBUSKIE;020800000000;2022;979976
Ludność ogółem;LUBUSKIE;020800000000;2023;975023
Ludność ogółem;LUBUSKIE;020800000000;2024;969819
Ludność ogółem;LUBUSKIE;020800000000;2025;963601
Ludność ogółem;WIELKOPOLSKIE;023000000000;2012;3462196
Ludność ogółem;WIELKOPOLSKIE;023000000000;2013;3467016
Ludność ogółem;WIELKOPOLSKIE;023000000000;2014;3472579
Ludność ogółem;WIELKOPOLSKIE;023000000000;2015;3475323
Ludność ogółem;WIELKOPOLSKIE;023000000000;2016;3481625
Ludność ogółem;WIELKOPOLSKIE;023000000000;2017;3489210
Ludność ogółem;WIELKOPOLSKIE;023000000000;2018;3493969
Ludność ogółem;WIELKOPOLSKIE;023000000000;2019;3498733
Ludność ogółem;WIELKOPOLSKIE;023000000000;2020;3507042
Ludność ogółem;WIELKOPOLSKIE;023000000000;2021;3500030
Ludność ogółem;WIELKOPOLSKIE;023000000000;2022;3493577
Ludność ogółem;WIELKOPOLSKIE;023000000000;2023;3487973
Ludność ogółem;WIELKOPOLSKIE;023000000000;2024;3479986
Ludność ogółem;WIELKOPOLSKIE;023000000000;2025;3471302
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2012;1721405
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2013;1718861
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2014;1715431
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2015;1710482
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2016;1708174
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2017;1705533
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2018;1701030
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2019;1696193
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2020;1661073
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2021;1650021
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2022;1640622
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2023;1631784
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2024;1622760
Ludność ogółem;ZACHODNIOPOMORSKIE;023200000000;2025;1612680
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2012;2914362
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2013;2909997
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2014;2908457
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2015;2904207
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2016;2903710
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2017;2902547
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2018;2901225
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2019;2900163
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2020;2908378
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2021;2897737
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2022;2888033
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2023;2879271
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2024;2868242
Ludność ogółem;DOLNOŚLĄSKIE;030200000000;2025;2857273
Ludność ogółem;OPOLSKIE;031600000000;2012;1010203
Ludność ogółem;OPOLSKIE;031600000000;2013;1004416
Ludność ogółem;OPOLSKIE;031600000000;2014;1000858
